FULLDATE	MONTH	DATE	DAY	DISTANCE	DURATION
7/27/2015	7	27	MONDAY	0.00	0:00:00
7/28/2015	7	28	TUESDAY	4.15	0:44:26
7/29/2015	7	29	WEDNESDAY	4.27	0:46:25
7/30/2015	7	30	THURSDAY	4.15	0:44:26
7/31/2015	7	31	FRIDAY	0.00	0:00:00
8/1/2015	8	1	SATURDAY	0.00	0:00:00
8/2/2015	8	2	SUNDAY	0.00	0:00:00
8/3/2015	8	3	MONDAY	0.00	0:00:00
8/4/2015	8	4	TUESDAY	4.14	0:45:41
8/5/2015	8	5	WEDNESDAY	3.90	0:43:07
8/6/2015	8	6	THURSDAY	6.43	1:09:50
8/7/2015	8	7	FRIDAY	4.17	0:45:56
8/8/2015	8	8	SATURDAY	6.53	1:10:33
8/9/2015	8	9	SUNDAY	0.00	0:00:00
8/10/2015	8	10	MONDAY	0.00	0:00:00
8/11/2015	8	11	TUESDAY	6.55	1:10:46
8/12/2015	8	12	WEDNESDAY	3.00	0:31:10
8/13/2015	8	13	THURSDAY	4.40	0:48:21
8/14/2015	8	14	FRIDAY	0.00	0:00:00
8/15/2015	8	15	SATURDAY	0.00	0:00:00
8/16/2015	8	16	SUNDAY	2.78	0:31:08
8/17/2015	8	17	MONDAY	2.70	0:30:00
8/18/2015	8	18	TUESDAY	2.38	0:25:00
8/19/2015	8	19	WEDNESDAY	2.04	0:25:00
8/20/2015	8	20	THURSDAY	0.00	0:00:00
8/21/2015	8	21	FRIDAY	0.00	0:00:00
8/22/2015	8	22	SATURDAY	0.00	0:00:00
8/23/2015	8	23	SUNDAY	0.00	0:00:00
8/24/2015	8	24	MONDAY	2.70	0:28:30
8/25/2015	8	25	TUESDAY	0.00	0:00:00
8/26/2015	8	26	WEDNESDAY	0.00	0:00:00
8/27/2015	8	27	THURSDAY	4.50	0:44:54
8/28/2015	8	28	FRIDAY	0.00	0:00:00
8/29/2015	8	29	SATURDAY	0.00	0:00:00
8/30/2015	8	30	SUNDAY	0.00	0:00:00
8/31/2015	8	31	MONDAY	0.00	0:00:00
9/1/2015	9	1	TUESDAY	4.27	0:46:15
9/2/2015	9	2	WEDNESDAY	4.00	0:48:48
9/3/2015	9	3	THURSDAY	0.00	0:00:00
9/4/2015	9	4	FRIDAY	4.33	0:46:34
9/5/2015	9	5	SATURDAY	3.07	0:30:01
9/6/2015	9	6	SUNDAY	0.00	0:00:00
9/7/2015	9	7	MONDAY	4.17	0:44:24
9/8/2015	9	8	TUESDAY	3.00	0:32:00
9/9/2015	9	9	WEDNESDAY	4.60	0:45:50
9/10/2015	9	10	THURSDAY	0.00	0:00:00
9/11/2015	9	11	FRIDAY	3.12	0:27:44
9/12/2015	9	12	SATURDAY	3.36	0:30:07
9/13/2015	9	13	SUNDAY	0.00	0:00:00
9/14/2015	9	14	MONDAY	6.62	1:06:26
9/15/2015	9	15	TUESDAY	4.25	0:41:28
9/16/2015	9	16	WEDNESDAY	6.45	1:07:43
9/17/2015	9	17	THURSDAY	3.00	0:32:14
9/18/2015	9	18	FRIDAY	0.00	0:00:00
9/19/2015	9	19	SATURDAY	6.12	1:00:01
9/20/2015	9	20	SUNDAY	1.93	0:18:42
9/21/2015	9	21	MONDAY	1.31	0:11:17
9/22/2015	9	22	TUESDAY	6.48	1:06:48
9/23/2015	9	23	WEDNESDAY	3.25	0:33:05
9/24/2015	9	24	THURSDAY	6.24	1:03:23
9/25/2015	9	25	FRIDAY	1.28	0:13:53
9/26/2015	9	26	SATURDAY	8.00	1:22:53
9/27/2015	9	27	SUNDAY	0.00	0:00:00
9/28/2015	9	28	MONDAY	6.08	1:05:13
9/29/2015	9	29	TUESDAY	0.00	0:00:00
9/30/2015	9	30	WEDNESDAY	0.00	0:00:00
10/1/2015	10	1	THURSDAY	4.25	0:42:00
10/2/2015	10	2	FRIDAY	7.16	1:12:06
10/3/2015	10	3	SATURDAY	0.00	0:00:00
10/4/2015	10	4	SUNDAY	4.28	0:42:38
10/5/2015	10	5	MONDAY	4.44	0:44:32
10/6/2015	10	6	TUESDAY	4.29	0:41:54
10/7/2015	10	7	WEDNESDAY	6.53	1:02:53
10/8/2015	10	8	THURSDAY	0.00	0:00:00
10/9/2015	10	9	FRIDAY	0.00	0:00:00
10/10/2015	10	10	SATURDAY	6.58	1:04:21
10/11/2015	10	11	SUNDAY	0.00	0:00:00
10/12/2015	10	12	MONDAY	4.24	0:46:40
10/13/2015	10	13	TUESDAY	6.54	1:04:50
10/14/2015	10	14	WEDNESDAY	0.00	0:00:00
10/15/2015	10	15	THURSDAY	6.50	1:04:12
10/16/2015	10	16	FRIDAY	4.48	0:43:52
10/17/2015	10	17	SATURDAY	4.30	0:41:42
10/18/2015	10	18	SUNDAY	0.00	0:00:00
10/19/2015	10	19	MONDAY	8.01	1:17:12
10/20/2015	10	20	TUESDAY	0.00	0:00:00
10/21/2015	10	21	WEDNESDAY	0.00	0:00:00
10/22/2015	10	22	THURSDAY	7.15	1:10:28
10/23/2015	10	23	FRIDAY	2.64	0:25:56
10/24/2015	10	24	SATURDAY	2.70	0:28:20
10/25/2015	10	25	SUNDAY	4.30	0:40:27
10/26/2015	10	26	MONDAY	3.10	0:26:16
10/27/2015	10	27	TUESDAY	0.00	0:00:00
10/28/2015	10	28	WEDNESDAY	4.22	0:41:29
10/29/2015	10	29	THURSDAY	4.23	0:45:19
10/30/2015	10	30	FRIDAY	3.00	0:27:17
10/31/2015	10	31	SATURDAY	0.00	0:00:00
11/1/2015	11	1	SUNDAY	0.00	
11/2/2015	11	2	MONDAY	4.30	0:39:05
11/3/2015	11	3	TUESDAY	4.30	0:40:52
11/4/2015	11	4	WEDNESDAY	0.00	0:00:00
11/5/2015	11	5	THURSDAY	4.26	0:41:26
11/6/2015	11	6	FRIDAY	0.00	0:00:00
11/7/2015	11	7	SATURDAY	6.01	0:53:15
11/8/2015	11	8	SUNDAY	0.56	0:04:41
11/9/2015	11	9	MONDAY	0.00	0:00:00
11/10/2015	11	10	TUESDAY	8.01	1:18:04
11/11/2015	11	11	WEDNESDAY	0.00	0:00:00
11/12/2015	11	12	THURSDAY	4.19	0:43:02
11/13/2015	11	13	FRIDAY	4.20	0:43:31
11/14/2015	11	14	SATURDAY	0.00	0:00:00
11/15/2015	11	15	SUNDAY	6.59	1:05:37
11/16/2015	11	16	MONDAY	6.50	1:05:06
11/17/2015	11	17	TUESDAY	3.00	0:30:41
11/18/2015	11	18	WEDNESDAY	0.00	0:00:00
11/19/2015	11	19	THURSDAY	4.27	0:41:39
11/20/2015	11	20	FRIDAY	2.85	0:28:00
11/21/2015	11	21	SATURDAY	0.00	0:00:00
11/22/2015	11	22	SUNDAY	0.00	0:00:00
11/23/2015	11	23	MONDAY	0.00	0:00:00
11/24/2015	11	24	TUESDAY	4.19	0:43:52
11/25/2015	11	25	WEDNESDAY	5.29	0:51:16
11/26/2015	11	26	THURSDAY	0.00	0:00:00
11/27/2015	11	27	FRIDAY	0.00	0:00:00
11/28/2015	11	28	SATURDAY	5.33	0:53:04
11/29/2015	11	29	SUNDAY	0.00	0:00:00
11/30/2015	11	30	MONDAY	6.87	1:09:24
12/1/2015	12	1	TUESDAY	0.00	0:00:00
12/2/2015	12	2	WEDNESDAY	3.21	0:30:13
12/3/2015	12	3	THURSDAY	6.83	1:07:07
12/4/2015	12	4	FRIDAY	3.22	0:31:35
12/5/2015	12	5	SATURDAY	0.00	0:00:00
12/6/2015	12	6	SUNDAY	1.00	0:08:15
12/7/2015	12	7	MONDAY	0.00	0:00:00
12/8/2015	12	8	TUESDAY	6.30	1:02:30
12/9/2015	12	9	WEDNESDAY	0.00	0:00:00
12/10/2015	12	10	THURSDAY	4.25	0:42:56
12/11/2015	12	11	FRIDAY	0.00	0:00:00
12/12/2015	12	12	SATURDAY	4.51	0:44:12
12/13/2015	12	13	SUNDAY	0.00	0:00:00
12/14/2015	12	14	MONDAY	6.30	0:59:37
12/15/2015	12	15	TUESDAY	4.26	0:43:35
12/16/2015	12	16	WEDNESDAY	3.06	0:27:05
12/17/2015	12	17	THURSDAY	3.01	0:28:36
12/18/2015	12	18	FRIDAY	3.41	0:31:57
12/19/2015	12	19	SATURDAY	2.02	0:18:34
12/20/2015	12	20	SUNDAY	0.00	0:00:00
12/21/2015	12	21	MONDAY	5.29	0:54:22
12/22/2015	12	22	TUESDAY	5.37	0:53:25
12/23/2015	12	23	WEDNESDAY	0.00	0:00:00
12/24/2015	12	24	THURSDAY	5.00	0:49:17
12/25/2015	12	25	FRIDAY	2.00	0:17:59
12/26/2015	12	26	SATURDAY	6.01	0:54:20
12/27/2015	12	27	SUNDAY	5.43	0:53:56
12/28/2015	12	28	MONDAY	2.85	0:28:00
12/29/2015	12	29	TUESDAY	8.21	1:17:58
12/30/2015	12	30	WEDNESDAY	7.13	1:09:04
12/31/2015	12	31	THURSDAY	0.00	0:00:00
